39732463^Edna Lutz^2719^5A
11714753^Dan Lundquist^2719^2E
57124114^David Sampson^1809^3E
10110688^George King^925^17C
59284057^Holly Simmel^2719^4C
53735001^Jan King^1809^22F
49167956^Jan Sink^925^22E
41384205^Janette Winter^1809^13D
36495966^Jim Hines^1809^24E
35717598^Jim Kane^2719^9D
14969099^Jim Koceja^2719^18C
58515433^Jim Ramirez^925^23D
21144783^Jim Sanders^925^7E
23947993^Jim Stewart^1809^23B
18350180^John Mead^925^4C
43641600^June Sebe^925^4D
41471930^Kathy Krall^1809^19A
39267111^Kay Kohn^1809^20C
10841154^Carol Ann Perry^2719^20F
32878119^Gayle Hyatt^2719^8F
51723328^Gayle Lineberger^925^25E
20237586^Gary Koerwer^1809^12F
25881701^Barbara Kuklentz^2719^15E
39546467^Bob Haag^2719^17C
36210936^Bob Schoolmeester^1809^13F
16019750^Harvey Hart Virginia^2719^19D
57332692^Michael Rothlisberger^925^20E
39345548^Larry Kautz^925^17B
53935190^Larry White^2719^2D
37102214^Lynn Haun^2719^1E
37489543^Emma Millius^1809^21B
46462662^Jenean Shockley^925^8F
49345427^Karl Prevatte^1809^7F
31697620^Bill Wecht^2719^23F
17396517^Jennifer Kraska^925^23B
34623416^Don Peterson^2719^8B
33021200^Edith Prill^2719^12C
23378244^Mark Shellaway^1809^25F
54078211^Al Hansen^925^22F
36319090^Jeff Wilson^2719^24D
33788721^Kathy Richards^925^3E
56018369^Don Thomas^1809^23E
18464826^Minerva Johnson^1809^7A
11661197^Gary Hagen^1809^1B
49783197^John Winston^1809^13B
26445082^Larry Hubbard^925^20B
14102911^Judy Sink^925^11B
43626913^Ed Lewis^2719^16B
32359023^Carol JACKSON^2719^25B
10370656^Dorothy Rivieccio^925^15C
54601418^Jane Halfhill^1809^21C
24321591^Jane Harris^925^3F
49331993^Bob Riegel^2719^2C
43786989^Martha Wittmer^2719^4B
54444140^Danny WHITE^925^14D
